game_id,competition_id,season,home_team_id,away_team_id,home_win,draw,away_win,home_win_prob,draw_prob,away_win_prob,row_ix
4941,1,2013,11,20,1.44,5.0,8.05,0.6817180989803868,0.19633481250635143,0.12194708851326173,0
4942,1,2013,7,35,1.42,4.62,10.19,0.691222763845657,0.2124537499265872,0.09632348622775591,1
4943,1,2013,28,15,3.81,3.27,2.21,0.2571276084752095,0.2995890484068955,0.44328334311789513,2
4944,1,2013,8,23,2.52,3.23,3.16,0.387949645756682,0.30267278863988817,0.30937756560342994,3
4945,1,2013,39,10,3.62,3.41,2.22,0.27084019062066206,0.2875194985474476,0.44164031083189026,4
4946,1,2013,25,18,2.56,3.3,3.06,0.3827957967520357,0.29695673929854893,0.3202474639494155,5
4947,1,2013,19,40,2.17,3.36,3.84,0.4522968197879858,0.29210836277974084,0.25559481743227325,6
4948,1,2013,2,34,1.23,6.8,16.25,0.7958142331915751,0.1439487510037702,0.06023701580465461,7
4949,1,2013,29,9,6.73,3.88,1.63,0.1457010092911924,0.2527236578684858,0.6015753328403219,8
4950,1,2013,16,17,1.26,6.41,14.02,0.7773393305077415,0.15279993080183374,0.06986073869042471,9
4951,1,2013,2,20,1.28,6.48,12.18,0.7676828983612681,0.15164106634296654,0.08067603529576545,10
4952,1,2013,20,7,4.28,4.04,1.85,0.22868017819552555,0.24226513927644786,0.5290546825280266,11
4953,1,2013,15,25,1.58,4.13,6.88,0.6202636094144972,0.23729213144670838,0.14244425913879444,12
4954,1,2013,23,11,4.78,3.6,1.88,0.20532485498628741,0.2726257796762372,0.5220493653374755,13
4955,1,2013,34,28,2.37,3.3,3.36,0.4126197334047826,0.29633599035434394,0.2910442762408735,14
4956,1,2013,17,19,2.22,3.48,3.57,0.4425209976277489,0.28229787779701226,0.27518112457523886,15
4957,1,2013,18,8,1.65,4.01,6.15,0.5953217221276751,0.24495781583807077,0.15972046203425427,16
4958,1,2013,35,29,2.0,3.48,4.28,0.48971539796938296,0.28144563101688674,0.22883897101373035,17
4959,1,2013,40,16,8.67,4.91,1.43,0.11326668720791234,0.20000451692313645,0.6867287958689512,18
4960,1,2013,9,39,1.78,3.67,5.4,0.5510725031004433,0.2672776718034848,0.18164982509607203,19
4961,1,2013,10,2,2.34,3.37,3.4,0.4197100345057473,0.29143070645206187,0.28885925904219073,20
4962,1,2013,40,15,3.65,3.37,2.23,0.26882751268999217,0.2911633297680924,0.44000915754191544,21
4963,1,2013,29,8,2.48,3.24,3.26,0.3958564446976284,0.30300122927472783,0.3011423260276437,22
4964,1,2013,16,34,1.18,7.84,21.01,0.8287242895250286,0.12473146194381807,0.04654424853115344,23
4965,1,2013,17,23,2.12,3.39,3.94,0.4622268672005315,0.28906222963573064,0.24871090316373778,24
4966,1,2013,28,18,2.97,3.28,2.58,0.3271554823594906,0.2962352995755144,0.37660921806499503,25
4967,1,2013,19,35,1.98,3.44,4.42,0.4941821916561578,0.2844420754299978,0.2213757329138444,26
4968,1,2013,11,9,2.18,3.35,3.79,0.4492475682637634,0.2923461787507475,0.25840625298548925,27
4969,1,2013,7,10,2.38,3.09,3.62,0.41191503778226224,0.31726789317857096,0.2708170690391669,28
4970,1,2013,25,39,2.72,3.37,2.81,0.36034825889578487,0.2908448855182596,0.3488068555859555,29
4971,1,2013,20,17,2.14,3.49,3.76,0.4582259562669796,0.2809752281980906,0.26079881553492984,30
4972,1,2013,15,2,3.42,3.49,2.26,0.2862690727486535,0.2805272861892249,0.43320364106212167,31
4973,1,2013,23,25,2.24,3.55,3.43,0.43781933502806375,0.2762578339332008,0.2859228310387355,32
4974,1,2013,34,40,2.21,3.2,3.92,0.44357690458004473,0.3063452997255934,0.25007779569436195,33
4975,1,2013,10,29,1.18,8.08,19.82,0.8294794155000632,0.12113684533293001,0.049383739167006786,34
4976,1,2013,35,16,5.84,3.91,1.68,0.1675098943245338,0.2501938063568485,0.5822962993186176,35
4977,1,2013,8,11,6.01,3.93,1.67,0.16318366149416574,0.2495505866615613,0.5872657518442731,36
4978,1,2013,9,28,1.48,4.38,8.61,0.662342589177512,0.22380525844354288,0.11385215237894515,37
4979,1,2013,18,19,1.68,3.81,5.9,0.5794781371320743,0.25551791873540286,0.16500394413252287,38
4980,1,2013,39,7,3.17,3.3,2.49,0.30924343182305725,0.2970611148118459,0.3936954533650969,39
4981,1,2013,2,23,1.29,5.8,13.5,0.75874298671473,0.16875490566586238,0.07250210761940754,40
4982,1,2013,7,18,1.76,3.74,5.44,0.5573770491803279,0.2622950819672131,0.18032786885245902,41
4983,1,2013,17,34,1.76,3.58,5.85,0.5578878949807937,0.2742689092643008,0.16784319575490544,42
4984,1,2013,28,20,2.43,3.31,3.25,0.40292827633220096,0.29580535090249194,0.3012663727653072,43
4985,1,2013,25,8,2.12,3.5,3.72,0.4596418888386805,0.2784116583822865,0.261946452779033,44
4986,1,2013,19,15,3.45,3.29,2.35,0.2843560933448574,0.2981849611063094,0.41745894554883317,45
4987,1,2013,11,35,1.43,4.78,9.05,0.686259734532227,0.2053036444311892,0.10843662103658391,46
4988,1,2013,40,9,3.83,3.37,2.02,0.24798277664647317,0.2818320577317484,0.47018516562177837,47
4989,1,2013,29,39,3.98,3.53,2.06,0.2463346883468835,0.27773712737127376,0.47592818428184286,48
4990,1,2013,16,10,2.31,3.24,3.22,0.4114626470101044,0.29335762796090775,0.29517972502898787,49
4991,1,2013,20,16,7.36,4.47,1.52,0.13353563623213469,0.2198707567491077,0.6465936070187576,50
