game_id,competition_id,season,home_team_id,away_team_id,home_win,draw,away_win,home_win_prob,draw_prob,away_win_prob,row_ix
4181,1,2011,22,27,2.13,3.29,3.52,0.4439452428688075,0.2874174368725106,0.2686373202586818,0
4182,1,2011,23,20,2.12,3.28,3.53,0.4450560432970986,0.2876581743261735,0.2672857823767278,1
4183,1,2011,7,8,1.5,3.92,7.3,0.6296703780310697,0.2409452977159706,0.12938432425295954,2
4184,1,2011,17,11,3.68,3.35,2.05,0.25682978365339665,0.2821294339834327,0.4610407823631706,3
4185,1,2011,38,21,2.3,3.26,3.14,0.4101713388148932,0.28938468689394303,0.30044397429116376,4
4186,1,2011,30,28,2.1,3.31,3.55,0.4492382390610364,0.2850151969873645,0.265746563951599,5
4187,1,2011,35,2,5.54,3.61,1.66,0.17030043991770014,0.2613474895135897,0.5683520705687102,6
4188,1,2011,25,10,6.66,4.02,1.51,0.14149650349650347,0.23441958041958041,0.624083916083916,7
4189,1,2011,16,39,1.26,5.47,12.43,0.7509114141857022,0.1729704537246773,0.07611813208962065,8
4190,1,2011,11,7,2.53,3.2,2.86,0.3737981849222752,0.29553418995417374,0.3306676251235511,9
4191,1,2011,20,22,1.72,3.49,5.2,0.548364093452748,0.27025393717442014,0.18138196937283196,10
4192,1,2011,2,25,1.29,5.28,10.68,0.7325445447317963,0.17897395126970025,0.0884815039985035,11
4193,1,2011,15,38,1.53,3.83,6.89,0.6166981769232747,0.24635723516778332,0.13694458790894198,12
4194,1,2011,8,17,2.13,3.27,3.53,0.44350311790403085,0.2888873520292311,0.26760953006673815,13
4195,1,2011,39,30,2.14,3.27,3.51,0.44167253500802334,0.2890456345312446,0.2692818304607322,14
4196,1,2011,21,16,4.69,3.46,1.8,0.2015703586709561,0.2732268734586082,0.5252027678704357,15
4197,1,2011,28,35,2.52,3.24,2.82,0.37433628318584067,0.2911504424778761,0.3345132743362832,16
4198,1,2011,27,23,2.33,3.25,3.11,0.40549540044049864,0.2907090101619575,0.303795589397544,17
4199,1,2011,10,9,1.63,3.72,5.59,0.5781134887031173,0.2533131684371186,0.16857334285976408,18
4200,1,2011,20,27,2.02,3.3,3.81,0.4667869553595295,0.2857301969170454,0.2474828477234251,19
4201,1,2011,22,15,3.14,3.26,2.3,0.30044397429116376,0.28938468689394303,0.4101713388148932,20
4202,1,2011,2,28,1.2,6.18,14.66,0.7836805447430428,0.1521709795617559,0.06414847569520132,21
4203,1,2011,7,21,1.41,4.35,8.11,0.6675579170853272,0.21638084208972677,0.11606124082494593,22
4204,1,2011,39,8,2.41,3.24,2.96,0.3909279157359248,0.2907828015196231,0.3182892827444523,23
4205,1,2011,30,38,2.28,3.25,3.15,0.4123119676191627,0.28925270343744336,0.2984353289433939,24
4206,1,2011,10,11,1.48,4.16,6.95,0.6374628484746928,0.22678966724580418,0.13574748427950292,25
4207,1,2011,17,23,2.11,3.26,3.55,0.4461088346741397,0.2887391537308082,0.26515201159505203,26
